Télétravail,2020-05-04 06:00:00+00:00,2020-05-29 18:00:00+00:00,None,None
Télétravail,2020-06-02 06:00:00+00:00,2020-06-19 18:00:00+00:00,None,None
RTT 2020,2020-06-22 06:00:00+00:00,2020-06-22 18:00:00+00:00,None,None
Télétravail,2020-06-23 06:00:00+00:00,2020-07-09 18:00:00+00:00,None,None
RTT 2020,2020-07-10 06:00:00+00:00,2020-07-13 18:00:00+00:00,None,None
RTT 2020,2020-09-11 06:00:00+00:00,2020-09-11 18:00:00+00:00,None,None
RTT 2020,2020-09-22 06:00:00+00:00,2020-09-22 18:00:00+00:00,None,None
Télétravail,2020-10-01 06:00:00+00:00,2020-10-05 18:00:00+00:00,None,None
Congés payés 2019,2020-10-08 06:00:00+00:00,2020-10-08 10:00:00+00:00,None,None
Télétravail,2020-10-08 12:00:00+00:00,2020-10-13 10:00:00+00:00,None,None
Télétravail,2020-10-14 06:00:00+00:00,2020-10-19 10:00:00+00:00,None,None
RTT 2020,2020-10-19 12:00:00+00:00,2020-10-19 18:00:00+00:00,None,None
Télétravail,2020-10-20 06:00:00+00:00,2020-10-23 18:00:00+00:00,None,None
Déj' Pôle Numérique : intervention Write the Docs,2019-06-12 12:00:00+02:00,2019-06-12 14:00:00+02:00,"Vous l'attendiez depuis belle lurette, le prochain déjeuner du pôle numérique est planifié !
Ce sera l'occasion pour Thomas Parisot de la communauté Write the Docs de nous faire une présentation  afin de nous inspirer à nous améliorer dans la chouette discipline de la documentation.

Rappel ces déjeuners ont un caractère obligatoire : si pas possible de vous y rendre voyez avec votre responsable.",Gaia
Déjeuner Nathalie Achard,2018-11-07 00:00:00+01:00,2018-11-07 01:00:00+01:00,None,None
Point hebdo Tableau décalé,2018-06-11 15:30:00+02:00,2018-06-11 16:30:00+02:00,None,None
Congé,2018-02-26,2018-03-03,None,None
Point supervision scripts,2019-03-28 15:30:00+01:00,2019-03-28 16:30:00+01:00,"Petit point sur la future supervision des scripts de gestion des flux Enedis.
J'ai mis une heure mais ce sera probablement moins long !
Emmanuel est malheureusement en RTT, y compris lundi et j'aimerais qu'on fasse ce point avant mon départ... Lundi soir :)",None
OFF,2019-05-09,2019-05-11,None,None
Evolution de la fiche de poste de M. Guiraud,2018-04-04 10:30:00+02:00,2018-04-04 11:00:00+02:00,None,None
